lgsgm0.21     lgsgm1.20     p3fl.0        tCrcl.10      vImpct.21     xMax.21       pMin.22       pMax.22       pMdl.0        E.0           N.0           eta.0         
-2.5000e+000  +5.0000e-001  +0.0000e+000  +1.7688e+001  +2.1209e+000  +1.0014e+000  +5.2365e-001  +1.0014e+000  +9.4346e-001  +2.2491e+000  +1.2715e-001  +4.2618e-002  
-2.5000e+000  +1.0000e+000  +0.0000e+000  +9.9482e+000  +3.7345e+000  +1.0014e+000  +5.0059e-001  +1.0012e+000  +8.9948e-001  +6.9734e+000  +7.0097e-001  +7.7930e-002  
-2.5000e+000  +1.5000e+000  +0.0000e+000  +5.5961e+000  +6.5792e+000  +1.0014e+000  +4.8494e-001  +9.9102e-001  +8.2130e-001  +2.1643e+001  +3.8676e+000  +1.4891e-001  
-2.5000e+000  +2.0000e+000  +0.0000e+000  +3.1552e+000  +1.1201e+001  +1.0016e+000  +4.5009e-001  +8.8926e-001  +6.8306e-001  +6.2730e+001  +1.9882e+001  +2.9107e-001  
-2.5000e+000  +2.5000e+000  +0.0000e+000  +1.7971e+000  +1.6596e+001  +1.0025e+000  +3.3647e-001  +5.6557e-001  +4.4357e-001  +1.3771e+002  +7.6630e+001  +5.4631e-001  
-2.5000e+000  +3.0000e+000  +0.0000e+000  +1.1043e+000  +1.3784e+001  +1.0138e+000  +8.7298e-002  +1.0297e-001  +9.5032e-002  +9.5004e+001  +8.6028e+001  +9.0526e-001  
-2.0000e+000  +5.0000e-001  +0.0000e+000  +1.0388e+001  +2.1203e+000  +1.0044e+000  +5.2341e-001  +1.0041e+000  +9.0373e-001  +2.2479e+000  +2.1640e-001  +7.5720e-002  
-2.0000e+000  +1.0000e+000  +0.0000e+000  +5.8451e+000  +3.7234e+000  +1.0044e+000  +4.9856e-001  +9.9517e-001  +8.2892e-001  +6.9320e+000  +1.1859e+000  +1.4307e-001  
-2.0000e+000  +1.5000e+000  +0.0000e+000  +3.3011e+000  +6.3565e+000  +1.0049e+000  +4.6166e-001  +9.0135e-001  +6.9707e-001  +2.0203e+001  +6.1200e+000  +2.7763e-001  
-2.0000e+000  +2.0000e+000  +0.0000e+000  +1.8943e+000  +9.6157e+000  +1.0074e+000  +3.5614e-001  +6.0134e-001  +4.7212e-001  +4.6231e+001  +2.4405e+001  +5.1692e-001  
-2.0000e+000  +2.5000e+000  +0.0000e+000  +1.1801e+000  +9.8276e+000  +1.0264e+000  +1.3608e-001  +1.7045e-001  +1.5283e-001  +4.8291e+001  +4.0922e+001  +8.4671e-001  
-2.0000e+000  +3.0000e+000  +0.0000e+000  +1.0160e+000  +6.7083e+000  +1.2106e+000  +2.1834e-002  +2.3179e-002  +2.2506e-002  +2.2501e+001  +2.2146e+001  +9.8401e-001  
-1.5000e+000  +5.0000e-001  +0.0000e+000  +6.3410e+000  +2.1148e+000  +1.0137e+000  +5.2154e-001  +1.0059e+000  +8.4230e-001  +2.2363e+000  +3.5267e-001  +1.3241e-001  
-1.5000e+000  +1.0000e+000  +0.0000e+000  +3.5890e+000  +3.6269e+000  +1.0150e+000  +4.8090e-001  +9.2613e-001  +7.2137e-001  +6.5772e+000  +1.8326e+000  +2.5404e-001  
-1.5000e+000  +1.5000e+000  +0.0000e+000  +2.0788e+000  +5.6538e+000  +1.0211e+000  +3.8751e-001  +6.6274e-001  +5.1896e-001  +1.5983e+001  +7.6887e+000  +4.6851e-001  
-1.5000e+000  +2.0000e+000  +0.0000e+000  +1.3096e+000  +6.8687e+000  +1.0524e+000  +2.0253e-001  +2.7352e-001  +2.3647e-001  +2.3590e+001  +1.8013e+001  +7.6176e-001  
-1.5000e+000  +2.5000e+000  +0.0000e+000  +1.0648e+000  +6.2590e+000  +1.2357e+000  +5.8165e-002  +6.5933e-002  +6.1952e-002  +1.9587e+001  +1.8396e+001  +9.3898e-001  
-1.5000e+000  +3.0000e+000  +0.0000e+000  +1.0168e+000  +6.7639e+000  +1.7546e+000  +2.1825e-002  +2.3904e-002  +2.2883e-002  +2.2875e+001  +2.2498e+001  +9.8318e-001  
-1.0000e+000  +5.0000e-001  +0.0000e+000  +4.1897e+000  +2.0792e+000  +1.0433e+000  +5.0986e-001  +9.7552e-001  +7.6132e-001  +2.1615e+000  +5.1591e-001  +2.1429e-001  
-1.0000e+000  +1.0000e+000  +0.0000e+000  +2.4457e+000  +3.3705e+000  +1.0565e+000  +4.3235e-001  +7.6557e-001  +5.9112e-001  +5.6802e+000  +2.3225e+000  +3.9290e-001  
-1.0000e+000  +1.5000e+000  +0.0000e+000  +1.5463e+000  +4.7083e+000  +1.1048e+000  +2.8739e-001  +4.2968e-001  +3.5331e-001  +1.1084e+001  +7.1684e+000  +6.4160e-001  
