lgsgm0.21     lgsgm1.20     p3fl.0        tCrcl.10      vImpct.21     xMax.21       pMin.22       pMax.22       pMdl.0        E.0           N.0           eta.0         
-3.0000e+000  +5.0000e-001  +0.0000e+000  +7.8456e+001  +3.8621e+000  +1.0010e+001  +7.3587e-002  +1.0096e+000  +8.7254e-001  +7.4578e+000  +9.5057e-002  +3.4451e-002  
-3.0000e+000  +6.0000e-001  +0.0000e+000  +6.9941e+001  +4.2935e+000  +1.0010e+001  +7.1028e-002  +1.0097e+000  +8.5702e-001  +9.2169e+000  +1.3178e-001  +3.8624e-002  
-3.0000e+000  +7.0000e-001  +0.0000e+000  +6.2349e+001  +4.7777e+000  +1.0010e+001  +6.8819e-002  +1.0097e+000  +8.3961e-001  +1.1413e+001  +1.8306e-001  +4.3502e-002  
-3.0000e+000  +8.0000e-001  +0.0000e+000  +5.5580e+001  +5.3213e+000  +1.0010e+001  +6.6905e-002  +1.0098e+000  +8.2008e-001  +1.4158e+001  +2.5474e-001  +4.9231e-002  
-3.0000e+000  +9.0000e-001  +0.0000e+000  +4.9544e+001  +5.9314e+000  +1.0010e+001  +6.5242e-002  +1.0098e+000  +7.9816e-001  +1.7591e+001  +3.5505e-001  +5.6002e-002  
-3.0000e+000  +1.0000e+000  +0.0000e+000  +4.4163e+001  +6.6162e+000  +1.0010e+001  +6.3794e-002  +1.0098e+000  +7.7357e-001  +2.1887e+001  +4.9559e-001  +6.4066e-002  
-3.0000e+000  +1.1000e+000  +0.0000e+000  +3.9366e+001  +7.3847e+000  +1.0010e+001  +6.2531e-002  +1.0099e+000  +7.4598e-001  +2.7267e+001  +6.9264e-001  +7.3754e-002  
-3.0000e+000  +1.2000e+000  +0.0000e+000  +3.5090e+001  +8.2471e+000  +1.0010e+001  +6.1425e-002  +1.0099e+000  +7.1502e-001  +3.4007e+001  +9.6915e-001  +8.5522e-002  
-3.0000e+000  +1.3000e+000  +0.0000e+000  +3.1277e+001  +9.2149e+000  +1.0010e+001  +6.0457e-002  +1.0099e+000  +6.8028e-001  +4.2457e+001  +1.3574e+000  +1.0001e-001  
-3.0000e+000  +1.4000e+000  +0.0000e+000  +2.7879e+001  +1.0301e+001  +1.0010e+001  +5.9606e-002  +1.0099e+000  +6.4130e-001  +5.3055e+001  +1.9030e+000  +1.1814e-001  
-3.0000e+000  +1.5000e+000  +0.0000e+000  +2.4849e+001  +1.1520e+001  +1.0010e+001  +5.8858e-002  +1.0100e+000  +5.9757e-001  +6.6351e+001  +2.6701e+000  +1.4130e-001  
-3.0000e+000  +1.6000e+000  +0.0000e+000  +2.2149e+001  +1.2887e+001  +1.0010e+001  +5.8199e-002  +1.0099e+000  +5.4851e-001  +8.3038e+001  +3.7491e+000  +1.7169e-001  
-3.0000e+000  +1.7000e+000  +0.0000e+000  +1.9742e+001  +1.4421e+001  +1.0010e+001  +5.7617e-002  +1.0096e+000  +4.9346e-001  +1.0398e+002  +5.2668e+000  +2.1296e-001  
-3.0000e+000  +1.8000e+000  +0.0000e+000  +1.7597e+001  +1.6133e+001  +1.0010e+001  +5.7090e-002  +1.0070e+000  +4.3171e-001  +1.3014e+002  +7.3957e+000  +2.7151e-001  
-3.0000e+000  +1.9000e+000  +0.0000e+000  +1.5688e+001  +1.7999e+001  +1.0010e+001  +5.6547e-002  +9.9017e-001  +3.6257e-001  +1.6199e+002  +1.0326e+001  +3.5853e-001  
-3.0000e+000  +2.0000e+000  +0.0000e+000  +1.4001e+001  +1.9796e+001  +1.0011e+001  +5.5671e-002  +9.1117e-001  +2.8579e-001  +1.9594e+002  +1.3995e+001  +4.8969e-001  
-3.0000e+000  +2.1000e+000  +0.0000e+000  +1.2548e+001  +2.0677e+001  +1.0015e+001  +5.3318e-002  +6.7204e-001  +2.0304e-001  +2.1377e+002  +1.7037e+001  +6.6649e-001  
-3.0000e+000  +2.2000e+000  +0.0000e+000  +1.1384e+001  +1.9154e+001  +1.0032e+001  +4.6522e-002  +3.2096e-001  +1.2164e-001  +1.8344e+002  +1.6115e+001  +8.3588e-001  
-3.0000e+000  +2.3000e+000  +0.0000e+000  +1.0617e+001  +1.5200e+001  +1.0099e+001  +3.2730e-002  +1.0485e-001  +5.8335e-002  +1.1552e+002  +1.0881e+001  +9.3484e-001  
-3.0000e+000  +2.4000e+000  +0.0000e+000  +1.0262e+001  +1.1464e+001  +1.0296e+001  +1.8946e-002  +3.6115e-002  +2.6192e-002  +6.5715e+001  +6.4040e+000  +9.7337e-001  
-3.0000e+000  +2.5000e+000  +0.0000e+000  +1.0119e+001  +9.3188e+000  +1.0659e+001  +1.1219e-002  +1.6794e-002  +1.3738e-002  +4.3420e+001  +4.2907e+000  +9.8765e-001  
-2.9000e+000  +5.0000e-001  +0.0000e+000  +7.0342e+001  +3.8613e+000  +1.0013e+001  +7.3574e-002  +1.0120e+000  +8.5784e-001  +7.4549e+000  +1.0598e-001  +3.9068e-002  
-2.9000e+000  +6.0000e-001  +0.0000e+000  +6.2710e+001  +4.2927e+000  +1.0013e+001  +7.1017e-002  +1.0121e+000  +8.4053e-001  +9.2136e+000  +1.4692e-001  +4.3907e-002  
-2.9000e+000  +7.0000e-001  +0.0000e+000  +5.5904e+001  +4.7769e+000  +1.0013e+001  +6.8808e-002  +1.0122e+000  +8.2112e-001  +1.1409e+001  +2.0409e-001  +4.9593e-002  
