t0            x1            v2            p3            
+6.3911e-013  +0.0000e+000  -6.4801e-040  +1.4500e+007  
+1.0472e-008  -2.2964e-014  -4.3862e-006  +1.4500e+007  
+3.1414e-008  -2.0668e-013  -1.3159e-005  +1.4500e+007  
+7.3299e-008  -1.1253e-012  -3.0704e-005  +1.4500e+007  
+1.5707e-007  -5.1670e-012  -6.5794e-005  +1.4500e+007  
+3.2461e-007  -2.2069e-011  -1.3597e-004  +1.4500e+007  
+6.5968e-007  -9.1146e-011  -2.7633e-004  +1.4500e+007  
+1.3298e-006  -3.7039e-010  -5.5705e-004  +1.4500e+007  
+2.6701e-006  -1.4933e-009  -1.1185e-003  +1.4500e+007  
+5.3507e-006  -5.9965e-009  -2.2414e-003  +1.4500e+007  
+8.0314e-006  -1.3510e-008  -3.3643e-003  +1.4500e+007  
+1.0712e-005  -2.4033e-008  -4.4872e-003  +1.4500e+007  
+1.3393e-005  -3.7567e-008  -5.6101e-003  +1.4501e+007  
+1.6073e-005  -5.4110e-008  -6.7330e-003  +1.4501e+007  
+1.8754e-005  -7.3664e-008  -7.8560e-003  +1.4501e+007  
+2.1434e-005  -9.6228e-008  -8.9789e-003  +1.4501e+007  
+2.4115e-005  -1.2180e-007  -1.0102e-002  +1.4501e+007  
+2.6796e-005  -1.5039e-007  -1.1225e-002  +1.4501e+007  
+2.9476e-005  -1.8198e-007  -1.2348e-002  +1.4501e+007  
+3.2157e-005  -2.1659e-007  -1.3471e-002  +1.4501e+007  
+3.4837e-005  -2.5420e-007  -1.4594e-002  +1.4501e+007  
+3.7518e-005  -2.9483e-007  -1.5717e-002  +1.4502e+007  
+4.0199e-005  -3.3846e-007  -1.6840e-002  +1.4502e+007  
+4.2879e-005  -3.8511e-007  -1.7963e-002  +1.4502e+007  
+4.5560e-005  -4.3476e-007  -1.9086e-002  +1.4502e+007  
+4.8241e-005  -4.8743e-007  -2.0209e-002  +1.4502e+007  
+5.0921e-005  -5.4311e-007  -2.1332e-002  +1.4502e+007  
+5.3602e-005  -6.0180e-007  -2.2455e-002  +1.4502e+007  
+5.6282e-005  -6.6349e-007  -2.3578e-002  +1.4502e+007  
+5.8963e-005  -7.2820e-007  -2.4701e-002  +1.4502e+007  
+6.1644e-005  -7.9592e-007  -2.5824e-002  +1.4503e+007  
+6.4324e-005  -8.6665e-007  -2.6947e-002  +1.4503e+007  
+6.7005e-005  -9.4039e-007  -2.8070e-002  +1.4503e+007  
+6.9685e-005  -1.0171e-006  -2.9193e-002  +1.4503e+007  
+7.2366e-005  -1.0969e-006  -3.0317e-002  +1.4503e+007  
+7.5047e-005  -1.1797e-006  -3.1440e-002  +1.4503e+007  
+7.7727e-005  -1.2655e-006  -3.2563e-002  +1.4503e+007  
+8.0408e-005  -1.3543e-006  -3.3686e-002  +1.4503e+007  
+8.3088e-005  -1.4461e-006  -3.4809e-002  +1.4504e+007  
+8.5769e-005  -1.5409e-006  -3.5932e-002  +1.4504e+007  
+8.8450e-005  -1.6387e-006  -3.7055e-002  +1.4504e+007  
+9.1130e-005  -1.7395e-006  -3.8179e-002  +1.4504e+007  
+9.3811e-005  -1.8434e-006  -3.9302e-002  +1.4504e+007  
+9.6491e-005  -1.9502e-006  -4.0425e-002  +1.4504e+007  
+9.9172e-005  -2.0601e-006  -4.1548e-002  +1.4504e+007  
+1.0185e-004  -2.1730e-006  -4.2671e-002  +1.4504e+007  
+1.0453e-004  -2.2889e-006  -4.3795e-002  +1.4504e+007  
+1.0721e-004  -2.4078e-006  -4.4918e-002  +1.4505e+007  
+1.1258e-004  -2.6546e-006  -4.7164e-002  +1.4505e+007  
+1.1794e-004  -2.9135e-006  -4.9411e-002  +1.4505e+007  
+1.2330e-004  -3.1844e-006  -5.1657e-002  +1.4505e+007  
+1.2866e-004  -3.4674e-006  -5.3904e-002  +1.4505e+007  
+1.3402e-004  -3.7624e-006  -5.6150e-002  +1.4506e+007  
+1.3938e-004  -4.0695e-006  -5.8397e-002  +1.4506e+007  
+1.4474e-004  -4.3886e-006  -6.0644e-002  +1.4506e+007  
+1.5010e-004  -4.7197e-006  -6.2890e-002  +1.4506e+007  
+1.5546e-004  -5.0629e-006  -6.5137e-002  +1.4506e+007  
+1.6083e-004  -5.4181e-006  -6.7384e-002  +1.4507e+007  
+1.6619e-004  -5.7854e-006  -6.9631e-002  +1.4507e+007  
+1.7155e-004  -6.1647e-006  -7.1878e-002  +1.4507e+007  
+1.7691e-004  -6.5561e-006  -7.4124e-002  +1.4507e+007  
+1.8227e-004  -6.9595e-006  -7.6371e-002  +1.4508e+007  
+1.8763e-004  -7.3750e-006  -7.8618e-002  +1.4508e+007  
+1.9299e-004  -7.8025e-006  -8.0865e-002  +1.4508e+007  
+1.9835e-004  -8.2421e-006  -8.3112e-002  +1.4508e+007  
+2.0372e-004  -8.6937e-006  -8.5359e-002  +1.4508e+007  
+2.0908e-004  -9.1573e-006  -8.7606e-002  +1.4509e+007  
+2.1444e-004  -9.6330e-006  -8.9854e-002  +1.4509e+007  
+2.1980e-004  -1.0121e-005  -9.2101e-002  +1.4509e+007  
+2.2516e-004  -1.0621e-005  -9.4348e-002  +1.4509e+007  
+2.3052e-004  -1.1132e-005  -9.6595e-002  +1.4509e+007  
+2.3588e-004  -1.1656e-005  -9.8842e-002  +1.4510e+007  
+2.4124e-004  -1.2192e-005  -1.0109e-001  +1.4510e+007  
+2.4661e-004  -1.2740e-005  -1.0334e-001  +1.4510e+007  
+2.5197e-004  -1.3300e-005  -1.0558e-001  +1.4510e+007  
+2.5733e-004  -1.3872e-005  -1.0783e-001  +1.4511e+007  
+2.6269e-004  -1.4457e-005  -1.1008e-001  +1.4511e+007  
+2.6805e-004  -1.5053e-005  -1.1233e-001  +1.4511e+007  
+2.7341e-004  -1.5661e-005  -1.1457e-001  +1.4511e+007  
+2.7877e-004  -1.6281e-005  -1.1682e-001  +1.4511e+007  
+2.8413e-004  -1.6914e-005  -1.1907e-001  +1.4512e+007  
+2.8950e-004  -1.7558e-005  -1.2132e-001  +1.4512e+007  
+2.9486e-004  -1.8214e-005  -1.2356e-001  +1.4512e+007  
+3.0022e-004  -1.8883e-005  -1.2581e-001  +1.4512e+007  
+3.0558e-004  -1.9563e-005  -1.2806e-001  +1.4512e+007  
